26	8888888888883	2000-01-01 00:00:00	-0.40	0.00	-0.02	-0.95	0.00	2018-07-26 08:14:26	2018-07-26 08:14:26	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 08:14:00.064
27	8888888888883	2000-01-01 00:00:00	-0.44	-0.01	-0.04	-0.99	0.00	2018-07-26 08:15:11	2018-07-26 08:15:11	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 08:15:00.06
28	8888888888883	2000-01-01 00:00:00	-0.08	-0.01	-0.03	-0.99	0.00	2018-07-26 08:24:33	2018-07-26 08:24:33	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 08:25:00.071
29	8888888888883	2000-01-01 00:00:00	-0.04	0.00	-0.03	-0.89	0.00	2018-07-26 09:23:03	2018-07-26 09:23:03	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:23:00.062
30	8888888888882	2000-01-01 00:00:00	-0.12	0.00	-0.03	-0.99	0.00	2018-07-26 09:24:04	2018-07-26 09:24:04	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:24:00.074
31	8888888888882	2000-01-01 00:00:00	-0.02	-0.02	-0.04	0.03	0.00	2018-07-26 09:24:43	2018-07-26 09:24:43	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:25:00.079
32	8888888888882	2000-01-01 00:00:00	0.00	0.03	0.00	0.03	0.00	2018-07-26 09:25:24	2018-07-26 09:25:24	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:25:00.088
33	8888888888882	2000-01-01 00:00:00	16.38	3.55	7.31	5.00	0.00	2018-07-26 09:26:09	2018-07-26 09:26:09	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:26:00.058
34	8888888888882	2000-01-01 00:00:00	16.18	3.35	6.92	4.79	0.00	2018-07-26 09:26:50	2018-07-26 09:26:50	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:27:00.064
35	8888888888882	2000-01-01 00:00:00	16.08	2.50	5.00	5.05	0.00	2018-07-26 09:27:32	2018-07-26 09:27:32	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:28:00.063
36	8888888888882	2000-01-01 00:00:00	0.24	0.02	0.05	-0.18	0.00	2018-07-26 09:28:31	2018-07-26 09:28:31	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:29:00.066
37	8888888888882	2000-01-01 00:00:00	-0.02	0.00	0.00	0.02	0.00	2018-07-26 09:29:12	2018-07-26 09:29:12	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:29:00.078
38	8888888888882	2000-01-01 00:00:00	0.00	0.00	0.00	-0.07	0.00	2018-07-26 09:29:55	2018-07-26 09:29:55	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:30:00.079
39	8888888888882	2000-01-01 00:00:00	15.82	2.44	4.89	5.11	0.00	2018-07-26 09:30:33	2018-07-26 09:30:33	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:31:00.076
40	8888888888882	2000-01-01 00:00:00	16.04	2.49	4.97	5.06	0.00	2018-07-26 09:31:13	2018-07-26 09:31:13	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:31:00.087
41	8888888888882	2000-01-01 00:00:00	16.06	2.50	5.00	4.97	0.00	2018-07-26 09:31:56	2018-07-26 09:31:56	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:32:00.053
42	8888888888882	2000-01-01 00:00:00	0.18	0.03	0.05	-0.08	0.00	2018-07-26 09:33:14	2018-07-26 09:33:14	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:33:00.076
43	8888888888882	2000-01-01 00:00:00	0.00	0.00	0.00	0.09	0.00	2018-07-26 09:33:54	2018-07-26 09:33:54	\N	\N	\N	\N	\N	----------	0	CAL/TEST	2018-07-25 09:34:00.078
