9918775290117	2018-07-31 07:51:34	\N	12.60	13.60	\N	\N	\N	2018-07-31 07:51:34	-----	1	\N	2018-07-30 08:00:00.089
9918775262114	2018-07-31 07:52:30	\N	12.70	13.70	\N	\N	\N	2018-07-31 07:52:30	-----	1	\N	2018-07-30 08:01:00.084
9918755206114	2018-07-31 08:22:39	\N	14.20	15.50	\N	\N	\N	2018-07-31 08:22:39	-----	1	\N	2018-07-30 08:32:00.073
9918785293115	2018-07-31 07:53:21	\N	12.90	14.20	\N	\N	\N	2018-07-31 07:53:21	-----	1	\N	2018-07-30 08:02:00.086
9918404213111	2018-07-31 08:11:46	\N	11.20	12.00	\N	\N	\N	2018-07-31 08:11:46	-----	1	\N	2018-07-30 08:21:00.084
9918775258117	2018-07-31 07:54:20	\N	13.30	14.10	\N	\N	\N	2018-07-31 07:54:20	-----	1	\N	2018-07-30 08:03:00.075
9918755220110	2018-07-31 08:00:46	\N	16.20	17.20	\N	\N	\N	2018-07-31 08:00:46	-----	1	\N	2018-07-30 08:10:00.078
9918755229113	2018-07-31 08:07:17	\N	12.80	13.90	\N	\N	\N	2018-07-31 08:07:17	-----	1	\N	2018-07-30 08:17:00.069
9918752339112	2018-07-31 08:01:46	\N	14.50	16.10	\N	\N	\N	2018-07-31 08:01:46	-----	1	\N	2018-07-30 08:11:00.094
9918775282112	2018-07-31 08:19:21	\N	18.50	19.70	\N	\N	\N	2018-07-31 08:19:21	-----	1	\N	2018-07-30 08:28:00.077
9918795295116	2018-07-31 08:25:55	\N	10.60	11.50	\N	\N	\N	2018-07-31 08:25:55	-----	1	\N	2018-07-30 08:35:00.098
9918732296114	2018-07-31 08:02:56	\N	9.40	10.20	\N	\N	\N	2018-07-31 08:02:56	-----	1	\N	2018-07-30 08:12:00.103
9918755227119	2018-07-31 08:12:53	\N	12.90	14.90	\N	\N	\N	2018-07-31 08:12:53	-----	1	\N	2018-07-30 08:22:00.069
9918752331116	2018-07-31 08:08:32	\N	9.10	12.40	\N	\N	\N	2018-07-31 08:08:32	-----	1	\N	2018-07-30 08:18:00.087
9918775272113	2018-07-31 08:39:56	\N	11.00	12.10	\N	\N	\N	2018-07-31 08:39:56	-----	1	\N	2018-07-30 08:49:00.09
9918755202116	2018-07-31 08:09:46	\N	11.90	13.30	\N	\N	\N	2018-07-31 08:09:46	-----	1	\N	2018-07-30 08:19:00.099
9918755210111	2018-07-31 08:17:18	\N	11.40	13.70	\N	\N	\N	2018-07-31 08:17:18	-----	1	\N	2018-07-30 08:26:00.093
9918752332113	2018-07-31 08:13:58	\N	13.80	15.70	\N	\N	\N	2018-07-31 08:13:58	-----	1	\N	2018-07-30 08:23:00.085
9918775280118	2018-07-31 08:37:45	\N	9.40	10.20	\N	\N	\N	2018-07-31 08:37:45	-----	1	\N	2018-07-30 08:47:00.088
