V001	V001	40	1	\N	2024-07-31 09:19:34.932
V002	V002	40	1	\N	2024-07-31 09:19:34.932
V003	V003	40	1	\N	2024-07-31 09:19:34.932
V004	V004	40	1	\N	2024-07-31 09:38:54.566
V005	V005	40	1	\N	2024-07-31 10:05:35.199
V006	V006	40	1	\N	2024-07-31 10:05:35.199
V007	V007	40	1	\N	2024-07-31 10:31:52.032
V008	V008	40	1	\N	2024-07-31 10:31:52.032
V009	V009	40	1	\N	2024-07-31 10:44:52.033
V010	V010	40	1	\N	2024-07-31 10:53:52.034
V011	V011	40	1	\N	2024-07-31 11:07:52.033
V012	V012	40	1	\N	2024-07-31 11:16:52.035
V013	V013	40	1	\N	2024-07-31 11:30:52.036
V014	V014	40	1	\N	2024-07-31 11:40:52.035
V015	V015	40	1	\N	2024-07-31 12:13:52.036
V016	V016	40	1	\N	2024-07-31 12:29:52.057
V017	V017	40	1	\N	2024-07-31 12:43:52.037
\.


